Date,Soins normaux,Soins intensifs,Soins intensifs,[1.NbMorts],Sorties h�pital,Nb de positifs cumul�,Nb de positifs,Nb de tests effectu�s,Nb de tests effectu�s cumul�s
24/02/2020,-,0,-,-,0,-,-,-,-
25/02/2020,-,0,-,-,0,-,-,-,-
26/02/2020,-,0,-,-,0,-,-,-,-
27/02/2020,-,0,-,-,0,-,-,-,-
28/02/2020,-,0,-,-,0,-,-,-,-
29/02/2020,-,0,-,-,0,-,-,-,-
01/03/2020,-,0,-,-,0,-,-,-,-
02/03/2020,-,0,-,-,0,-,-,-,-
03/03/2020,-,0,-,-,0,-,-,-,-
04/03/2020,-,0,-,-,0,-,-,-,-
05/03/2020,-,0,-,-,0,-,-,-,-
06/03/2020,-,0,-,-,0,-,-,-,-
07/03/2020,-,0,-,-,0,-,-,-,-
08/03/2020,-,0,-,-,0,-,-,-,-
09/03/2020,-,0,-,-,0,-,-,-,-
10/03/2020,-,0,-,-,3,-,-,-,-
11/03/2020,-,0,-,-,0,-,-,-,-
12/03/2020,-,0,-,-,1,-,-,-,-
13/03/2020,-,0,-,-,3,-,-,-,-
14/03/2020,-,0,-,-,0,-,-,-,-
15/03/2020,-,0,-,-,0,-,-,-,-
16/03/2020,-,0,-,-,4,-,-,-,-
17/03/2020,0,0,0,3,1,197,108,578,1511
18/03/2020,0,0,0,3,3,344,147,880,2391
19/03/2020,1,0,0,4,0,480,136,901,3292
20/03/2020,18,3,3,6,2,648,168,995,4287
21/03/2020,56,6,6,7,1,767,119,438,4725
22/03/2020,63,5,2,7,5,788,21,21,4746
23/03/2020,71,7,2,7,6,1007,219,1104,5850
24/03/2020,97,9,2,7,2,1180,173,885,6735
25/03/2020,128,21,14,9,2,1329,149,900,7635
26/03/2020,120,26,20,9,11,1530,201,4597,12232
27/03/2020,128,26,20,14,4,1682,152,1081,13313
28/03/2020,152,29,23,17,7,1779,97,824,14137
29/03/2020,160,27,21,21,1,1812,33,273,14410
30/03/2020,150,30,24,22,19,1948,136,1075,15485
31/03/2020,153,32,26,26,16,2034,86,936,16421
01/04/2020,154,33,27,27,11,2153,119,1180,17601
02/04/2020,171,40,30,28,8,2262,109,1341,18942
03/04/2020,167,45,35,29,19,2349,87,1212,20154
04/04/2020,173,43,33,34,13,2408,59,824,20978
05/04/2020,160,43,33,36,10,2439,31,551,21529
06/04/2020,160,41,31,38,16,2498,59,1050,22579
07/04/2020,159,41,31,43,11,2559,61,1020,23599
08/04/2020,168,43,33,46,9,2623,64,932,24531
09/04/2020,163,39,29,49,10,2680,57,863,25394
10/04/2020,165,38,28,54,17,2715,35,691,26085
11/04/2020,150,40,30,58,7,2722,7,308,26393
12/04/2020,161,40,31,62,2,2734,12,208,26601
13/04/2020,139,42,33,65,13,2737,3,82,26683
14/04/2020,140,43,34,68,17,2796,59,1372,28055
15/04/2020,124,44,35,68,10,2829,33,843,28898
16/04/2020,138,41,32,71,14,2854,25,958,29856
17/04/2020,124,39,30,71,11,2898,44,1032,30888
18/04/2020,136,40,31,74,8,2913,15,528,31416
19/04/2020,132,39,30,75,0,2916,3,191,31607
20/04/2020,130,39,31,78,20,2931,15,931,32538
21/04/2020,126,38,31,80,8,2955,24,752,33290
22/04/2020,125,35,28,81,8,2964,9,1140,34430
23/04/2020,112,30,24,84,10,2980,16,789,35219
24/04/2020,109,30,25,85,13,2997,17,1309,36528
25/04/2020,98,28,23,88,7,3009,12,607,37135
26/04/2020,100,25,20,88,4,3014,5,132,37267
27/04/2020,89,25,20,89,17,3023,9,758,38025
28/04/2020,92,25,22,89,17,3040,17,1724,39749
29/04/2020,78,27,24,90,8,3050,10,1885,41634
30/04/2020,67,27,24,92,9,3062,12,1962,43596
01/05/2020,79,28,25,93,3,3069,7,1392,44988
02/05/2020,74,27,24,96,3,3073,4,694,45682
03/05/2020,73,26,23,96,2,3077,4,237,45919
04/05/2020,71,25,22,98,6,3088,11,1036,46955
05/05/2020,81,23,20,98,12,3096,8,1276,48231
06/05/2020,75,24,21,100,4,3102,6,1433,49664
07/05/2020,67,19,16,100,5,3107,5,1317,50981
08/05/2020,75,18,15,101,10,3110,3,1312,52293
09/05/2020,68,17,14,101,5,3118,8,730,53023
10/05/2020,59,21,18,101,3,3119,1,212,53235
11/05/2020,56,23,22,102,1,3123,4,1047,54282
12/05/2020,57,23,22,103,4,3130,7,1391,55673
13/05/2020,59,12,11,103,7,3139,9,1206,56879
14/05/2020,63,12,11,104,3,3142,3,1293,58172
15/05/2020,50,16,15,105,2,3147,5,1274,59446
16/05/2020,42,14,13,106,5,3156,9,1011,60457
17/05/2020,38,9,8,106,1,3157,1,150,60607
18/05/2020,42,11,10,108,6,3169,12,990,61597
19/05/2020,43,7,6,108,5,3176,7,1067,62664
20/05/2020,48,7,6,108,10,3183,7,1513,64177
21/05/2020,36,6,5,108,1,3183,0,787,64964
22/05/2020,37,9,8,108,8,3192,9,1197,66161
23/05/2020,27,8,7,109,0,3194,2,1211,67372
24/05/2020,28,5,4,109,0,3195,1,94,67466
25/05/2020,30,6,5,109,2,3197,2,944,68410
26/05/2020,38,5,4,110,1,3202,5,1329,69739
27/05/2020,29,5,4,110,2,3203,1,1205,70944
28/05/2020,25,5,4,110,2,3206,3,2000,72944
29/05/2020,25,4,3,110,4,3209,3,2205,75149
30/05/2020,23,4,3,110,2,3211,2,2016,77165
31/05/2020,24,4,3,110,2,3211,0,192,77357
01/06/2020,21,4,4,110,2,3212,1,421,77778
02/06/2020,20,2,2,110,2,3214,2,1590,79368
